;;;;;;;;;;
111111ohneAcoustic1.7.rounded_in_percent_with_empty_results;;;;;;;;;;
Approach;Language Weight;Word Insertion Probability;Ratio;Accuracy;WER;Sentence Accuracy;Substitutions;Insertions;Deletions;Empty Results;SER;Average Time
Standard;;;;0.0;100.0;0.0;9;0;7;0;100.0;0
Standard;0.1;0.0;9.223372036854776E15;0.0;100.0;0.0;6;0;10;0;100.0;0
Standard;0.2;0.0;9.223372036854776E15;0.0;100.0;0.0;6;0;10;0;100.0;0
Standard;0.3;0.0;9.223372036854776E15;0.0;100.0;0.0;6;0;10;0;100.0;0
Standard;0.4;0.0;9.223372036854776E15;0.0;100.0;0.0;6;0;10;0;100.0;0
Standard;0.5;0.0;9.223372036854776E15;0.0;100.0;0.0;3;0;13;0;100.0;0
Standard;0.6;0.0;9.223372036854776E15;0.0;100.0;0.0;3;0;13;0;100.0;0
Standard;0.7;0.0;9.223372036854776E15;0.0;100.0;0.0;3;0;13;0;100.0;0
Standard;0.8;0.0;9.223372036854776E15;0.0;100.0;0.0;3;0;13;0;100.0;0
Standard;0.9;0.0;9.223372036854776E15;0.0;100.0;0.0;3;0;13;0;100.0;0
Standard;1.0;0.0;9.223372036854776E15;0.0;100.0;0.0;3;0;13;0;100.0;0
Standard;1.1;0.0;9.223372036854776E15;0.0;100.0;0.0;3;0;13;0;100.0;0
Standard;1.2;0.0;9.223372036854776E15;0.0;100.0;0.0;3;0;13;0;100.0;0
Standard;1.3;0.0;9.223372036854776E15;0.0;100.0;0.0;3;0;13;0;100.0;0
Standard;1.4;0.0;9.223372036854776E15;0.0;100.0;0.0;3;0;13;0;100.0;0
Standard;1.5;0.0;9.223372036854776E15;0.0;100.0;0.0;3;0;13;0;100.0;0
Standard;1.6;0.0;9.223372036854776E15;0.0;100.0;0.0;3;0;13;0;100.0;0
Standard;1.7;0.0;9.223372036854776E15;0.0;100.0;0.0;3;0;13;0;100.0;0
Standard;1.8;0.0;9.223372036854776E15;0.0;100.0;0.0;3;0;13;0;100.0;0
Standard;1.9;0.0;9.223372036854776E15;0.0;100.0;0.0;3;0;13;0;100.0;0
Standard;2.0;0.0;9.223372036854776E15;0.0;100.0;0.0;3;0;13;0;100.0;0
Standard;2.1;0.0;9.223372036854776E15;0.0;100.0;0.0;3;0;13;0;100.0;0
Standard;2.2;0.0;9.223372036854776E15;0.0;100.0;0.0;3;0;13;0;100.0;0
Standard;2.3;0.0;9.223372036854776E15;0.0;100.0;0.0;3;0;13;0;100.0;0
Standard;2.4;0.0;9.223372036854776E15;0.0;100.0;0.0;3;0;13;0;100.0;0
Standard;2.5;0.0;9.223372036854776E15;0.0;100.0;0.0;3;0;13;0;100.0;0
Standard;2.6;0.0;9.223372036854776E15;0.0;100.0;0.0;3;0;13;0;100.0;0
Standard;2.7;0.0;9.223372036854776E15;0.0;100.0;0.0;3;0;13;0;100.0;0
Standard;2.8;0.0;9.223372036854776E15;0.0;100.0;0.0;3;0;13;0;100.0;0
Standard;2.9;0.0;9.223372036854776E15;0.0;100.0;0.0;3;0;13;0;100.0;0
Standard;3.0;0.0;9.223372036854776E15;0.0;100.0;0.0;3;0;13;0;100.0;0
Standard;3.1;0.0;9.223372036854776E15;0.0;100.0;0.0;3;0;13;0;100.0;0
Standard;3.2;0.0;9.223372036854776E15;0.0;100.0;0.0;3;0;13;0;100.0;0
Standard;3.3;0.0;9.223372036854776E15;0.0;100.0;0.0;3;0;13;0;100.0;0
Standard;3.4;0.0;9.223372036854776E15;0.0;100.0;0.0;3;0;13;0;100.0;0
Standard;3.5;0.0;9.223372036854776E15;0.0;100.0;0.0;3;0;13;0;100.0;0
Standard;3.6;0.0;9.223372036854776E15;0.0;100.0;0.0;3;0;13;0;100.0;0
Standard;3.7;0.0;9.223372036854776E15;0.0;100.0;0.0;3;0;13;0;100.0;0
Standard;3.8;0.0;9.223372036854776E15;0.0;100.0;0.0;3;0;13;0;100.0;0
Standard;3.9;0.0;9.223372036854776E15;0.0;100.0;0.0;3;0;13;0;100.0;0
